id,issue_name,issue_dt,cover,issue,,,,,,,,1468,1290
1275,№ 11 (57),2001-06-08 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1275/issue.pdf,,,,,,,,,
1484,№ 12 (58),2001-06-22 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1484/issue.pdf,,,,,,,,,
1159,№ 13 (59),2001-07-06 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1159/issue.pdf,,,,,,,,,
1110,№ 14 (60),2001-07-20 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1110/issue.pdf,,,,,,,,,
1356,№ 15 (61),2001-08-03 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1356/issue.pdf,,,,,,,,,
1133,№ 16 (62),2001-08-17 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1133/issue.pdf,,,,,,,,,
1421,№ 17 (63),2001-08-31 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1421/issue.pdf,,,,,,,,,
1224,№ 18 (64),2001-09-14 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1224/issue.pdf,,,,,,,,,
1320,№ 19 (65),2001-09-28 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1320/issue.pdf,,,,,,,,,
1192,№ 20 (66),2001-10-12 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1192/issue.pdf,,,,,,,,,
1269,№ 21 (67),2001-10-26 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1269/issue.pdf,,,,,,,,,
1441,№ 22 (68),2001-11-09 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1441/issue.pdf,,,,,,,,,
1162,№ 23 (69),2001-11-23 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1162/issue.pdf,,,,,,,,,
1271,№ 24 (70),2001-12-07 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1271/issue.pdf,,,,,,,,,
1184,№ 25 (71),2001-12-21 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1184/issue.pdf,,,,,,,,,
1276,№ 1 (72),2002-01-18 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1276/issue.pdf,,,,,,,,,
1278,№ 2 (73),2002-02-01 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1278/issue.pdf,,,,,,,,,
1401,№ 3 (74),2002-02-15 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1401/issue.pdf,,,,,,,,,
1235,№ 4 (76),2002-03-01 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1235/issue.pdf,,,,,,,,,
1196,№ 5 (76),2002-03-15 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1196/issue.pdf,,,,,,,,,
